conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
US$147
Price US$147","Summer Beach Maldives
Opens in new window
Male CityShow on map
8.4
Scored 8.4
Very good
902 reviews
Superior Queen Room (Free Return Airport Transfer and 10% off on Food & Beverage)
1 large double bed
Free cancellation
Only 7 rooms left at this price on our site
1 night, 2 adults
US$147
Price US$147
See availability","8.4
Scored 8.4
Very good
902 reviews",Summer Beach Maldives,Male City,Superior Queen Room (Free Return Airport Transfer and 10% off on Food & Beverage),4 out of 5
,"1 night, 2 adults
US$79
Price US$79","Breakfast included
Medhufushi Island Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MuliShow on map
7.7
Scored 7.7
Good
162 reviews
Semi Detached Beach Villa
Entire villa • 1 bedroom • 1 bathroom • 699.7feet²
1 double bed
Breakfast included
1 night, 2 adults
US$79
Price US$79
See availability","7.7
Scored 7.7
Good
162 reviews",Medhufushi Island Resort,Muli,Semi Detached Beach Villa,4 out of 5
,"1 night, 2 adults
US$412
Price US$412","Breakfast included
Kandolhu Maldives
Opens in new window
Himandhoo Show on map
9.7
Scored 9.7
Exceptional
82 reviews
Location 10
Beach Villa
1 extra-large double bed
Breakfast included
1 night, 2 adults
US$412
Price US$412
See availability","9.7
Scored 9.7
Exceptional
82 reviews",Kandolhu Maldives,Himandhoo,Beach Villa,5 out of 5
,"1 night, 2 adults
US$796US$478
Original price US$796. Current price US$478.","Breakfast included
The Residence Maldives
Opens in new window
Gaafu Alifu AtollShow on map
8.9
Scored 8.9
Fabulous
157 reviews
Getaway Deal
One-Bedroom Beach Villa
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$796US$478
Original price US$796. Current price US$478.
See availability","8.9
Scored 8.9
Fabulous
157 reviews",The Residence Maldives,Gaafu Alifu Atoll,One-Bedroom Beach Villa,5 out of 5
,"1 night, 2 adults
US$372US$279
Original price US$372. Current price US$279.","All meals included
Vilamendhoo Island Resort & Spa
Opens in new window
DhangethiShow on map
9.4
Scored 9.4
Superb
953 reviews
Location 9.7
Garden Villa
Entire bungalow • 1 bedroom • 1 bathroom • 592feet²
1 double bed
All meals included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
US$372US$279
Original price US$372. Current price US$279.
See availability","9.4
Scored 9.4
Superb
953 reviews",Vilamendhoo Island Resort & Spa,Dhangethi,Garden Villa,4 out of 5
,"1 night, 2 adults
US$1,040
Price US$1,040","All-inclusive
Pullman Maldives All-Inclusive Resort
Opens in new window
MaamutaaShow on map
Sustainability certification
9.3
Scored 9.3
Superb
54 reviews
Beach Villa with Private Terrace
Entire villa • 1 bathroom • 2,152.8feet²
1 extra-large double bed
All-inclusive
Only 7 left at this price on our site
1 night, 2 adults
US$1,040
Price US$1,040
See availability","9.3
Scored 9.3
Superb
54 reviews",Pullman Maldives All-Inclusive Resort,Maamutaa,Beach Villa with Private Terrace,5 out of 5
,"1 night, 2 adults
US$500US$350
Original price US$500. Current price US$350.","Breakfast included
Centara Grand Island Resort & Spa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MachchafushiShow on map
Sustainability certification
8.9
Scored 8.9
Fabulous
613 reviews
Getaway Deal
Duplex Beach Villa King
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$500US$350
Original price US$500. Current price US$350.
See availability","8.9
Scored 8.9
Fabulous
613 reviews",Centara Grand Island Resort & Spa,Machchafushi,Duplex Beach Villa King,5 out of 5
,"1 night, 2 adults
US$112
Price US$112","Breakfast included
Bliss Dhigurah
Opens in new window
DhigurahShow on map
9.1
Scored 9.1
Superb
361 reviews
Location 9.6
Budget Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
US$112
Price US$112
See availability","9.1
Scored 9.1
Superb
361 reviews",Bliss Dhigurah,Dhigurah,Budget Double Room,3 out of 5
,"1 night, 2 adults
US$50
Price US$50","Breakfast included
Riveli Retreat Mathiveri
Opens in new window
MathiveriShow on map
9.3
Scored 9.3
Superb
214 reviews
Location 9.6
Standard Twin Room
2 single beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
US$50
Price US$50
See availability","9.3
Scored 9.3
Superb
214 reviews",Riveli Retreat Mathiveri,Mathiveri,Standard Twin Room,3 out of 5
,"1 night, 2 adults
US$182
Price US$182","Breakfast & dinner included
Safari Island
Opens in new window
MushimasgaliShow on map
9.5
Scored 9.5
Exceptional
6 reviews
Location 9.6
Beach Bungalow
1 large double bed
Breakfast & dinner included
1 night, 2 adults
US$182
Price US$182
See availability","9.5
Scored 9.5
Exceptional
6 reviews",Safari Island,Mushimasgali,Beach Bungalow,4 out of 5
,"1 night, 2 adults
US$68
Price US$68","Breakfast included
Portia Hotel & Spa
Opens in new window
DhiffushiShow on map
8.5
Scored 8.5
Very good
435 reviews
Location 9.5
Standard Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site
1 night, 2 adults
US$68
Price US$68
See availability","8.5
Scored 8.5
Very good
435 reviews",Portia Hotel & Spa,Dhiffushi,Standard Double Room,3 out of 5
,"1 night, 2 adults
US$522
Price US$522","All meals included
Boutique Beach All Inclusive Diving Hotel
Opens in new window
DhigurahShow on map
9.8
Scored 9.8
Exceptional
64 reviews
Location 9.6
Deluxe Double or Twin Room with Excursion
Multiple bed types
All meals included
1 night, 2 adults
US$522
Price US$522
See availability","9.8
Scored 9.8
Exceptional
64 reviews",Boutique Beach All Inclusive Diving Hotel,Dhigurah,Deluxe Double or Twin Room with Excursion,4 out of 5
,"1 night, 2 adults
US$76US$68
Original price US$76. Current price US$68.","Breakfast & dinner included
Relax Residence Thoddoo Maldives
Opens in new window
ThoddooShow on map
9.2
Scored 9.2
Superb
184 reviews
Location 9.6
Deluxe Double or Twin Room
Multiple bed types
Breakfast & dinner included
1 night, 2 adults
US$76US$68
Original price US$76. Current price US$68.
See availability","9.2
Scored 9.2
Superb
184 reviews",Relax Residence Thoddoo Maldives,Thoddoo,Deluxe Double or Twin Room,4 out of 5
,"1 night, 2 adults
US$463US$278
Original price US$463. Current price US$278.","All meals included
Kuramathi Maldives
Opens in new window
RasduShow on map
9.1
Scored 9.1
Superb
850 reviews
Location 9.5
Beach Villa
1 double bed
All meals included
Free cancellation
1 night, 2 adults
US$463US$278
Original price US$463. Current price US$278.
See availability","9.1
Scored 9.1
Superb
850 reviews",Kuramathi Maldives,Rasdu,Beach Villa,4 out of 5
,"1 night, 2 adults
US$665
Price US$665","Breakfast included
Anantara Veli Maldives Resort - Special Offer On Transfer Rates For Summer 2024
Opens in new window
South Male AtollShow on map
Sustainability certification
9.4
Scored 9.4
Superb
117 reviews
Location 9.6
Over Water Villa
Entire bungalow • 1 bedroom • 1 bathroom • 710.4feet²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
1 night, 2 adults
US$665
Price US$665
See availability","9.4
Scored 9.4
Superb
117 reviews",Anantara Veli Maldives Resort - Special Offer On Transfer Rates For Summer 2024,South Male Atoll,Over Water Villa,5 out of 5
,"1 night, 2 adults
US$357
Price US$357","Breakfast included
The Residence Maldives at Dhigurah
Opens in new window
Gaafu Alifu AtollShow on map
9.1
Scored 9.1
Superb
143 reviews
Villa
1 large double bed
Breakfast included
1 night, 2 adults
US$357
Price US$357
See availability","9.1
Scored 9.1
Superb
143 reviews",The Residence Maldives at Dhigurah,Gaafu Alifu Atoll,Villa,5 out of 5
,"1 night, 2 adults
US$541US$481
Original price US$541. Current price US$481.","Breakfast included
Constance Halaveli
Opens in new window
HangnaameedhooShow on map
Sustainability certification
9.6
Scored 9.6
Exceptional
422 reviews
Location 9.7
Water Villa with Private Pool
1 extra-large double bed
Breakfast included
Only 4 rooms left at this price on our site
1 night, 2 adults
US$541US$481
Original price US$541. Current price US$481.
See availability","9.6
Scored 9.6
Exceptional
422 reviews",Constance Halaveli,Hangnaameedhoo,Water Villa with Private Pool,5 out of 5
,"1 night, 2 adults
US$383US$272
Original price US$383. Current price US$272.","Breakfast included
Sun Siyam Iru Fushi - 50 percent off on Seaplane transfer for minimum 4 night stay till 30 Sept 2024
Opens in new window
ManadhooShow on map
9.1
Scored 9.1
Superb
446 reviews
Location 9.3
Deluxe Beach Villa - 50% off on return seaplane transfer, 2 Pax (On stays 4 nights and above between 01st May 24 and 30th Sept 24) + 2 Children upto 14.99 years stay and eat free on the same meal plan. Applicable only for bookings from 29th March, 2024.
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
Only 6 rooms left at this price on our site
1 night, 2 adults
US$383US$272
Original price US$383. Current price US$272.
See availability","9.1
Scored 9.1
Superb
446 reviews",Sun Siyam Iru Fushi - 50 percent off on Seaplane transfer for minimum 4 night stay till 30 Sept 2024,Manadhoo,"Deluxe Beach Villa - 50% off on return seaplane transfer, 2 Pax (On stays 4 nights and above between 01st May 24 and 30th Sept 24) + 2 Children upto 14.99 years stay and eat free on the same meal plan. Applicable only for bookings from 29th March, 2024.",5 out of 5
,"1 night, 2 adults
US$135
Price US$135","Breakfast included
Stone Hotels Dhiffushi
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhiffushiShow on map
9.5
Scored 9.5
Exceptional
170 reviews
Location 9.6
Standard Double Room
Beds: 1 double or 2 singles
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
US$135
Price US$135
See availability","9.5
Scored 9.5
Exceptional
170 reviews",Stone Hotels Dhiffushi,Dhiffushi,Standard Double Room,4 out of 5
,"1 night, 2 adults
US$63US$51
Original price US$63. Current price US$51.","Aasna Inn
Opens in new window
ThulusdhooShow on map
8.5
Scored 8.5
Very good
165 reviews
Deluxe Double or Twin Room
Multiple bed types
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
US$63US$51
Original price US$63. Current price US$51.
See availability","8.5
Scored 8.5
Very good
165 reviews",Aasna Inn,Thulusdhoo,Deluxe Double or Twin Room,
,"1 night, 2 adults
US$730US$438
Original price US$730. Current price US$438.","Breakfast included
Sun Siyam Iru Veli Premium All Inclusive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Dhaalu AtollShow on map
8.9
Scored 8.9
Fabulous
278 reviews
Location 9.3
Getaway Deal
Beach Villa with Pool - (Free Seaplane Transfers for two & Free a Floating Breakfast for minimum 7 nights stays) for bookings from 26th March, 2024
Private suite
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$730US$438
Original price US$730. Current price US$438.
See availability","8.9
Scored 8.9
Fabulous
278 reviews",Sun Siyam Iru Veli Premium All Inclusive,Dhaalu Atoll,"Beach Villa with Pool - (Free Seaplane Transfers for two & Free a Floating Breakfast for minimum 7 nights stays) for bookings from 26th March, 2024",5 out of 5
,"1 night, 2 adults
US$100US$65
Original price US$100. Current price US$65.","Breakfast included
Vaali Maldives Island Escapes & Dive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
FelidhooShow on map
9.1
Scored 9.1
Superb
72 reviews
Location 9.5
Getaway Deal
Standard Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
US$100US$65
Original price US$100. Current price US$65.
See availability","9.1
Scored 9.1
Superb
72 reviews",Vaali Maldives Island Escapes & Dive,Felidhoo,Standard Double Room,3 out of 5
,"1 night, 2 adults
US$87
Price US$87","Breakfast included
Equator Village Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
GanShow on map
8.0
Scored 8.0
Very good
75 reviews
Standard Double or Twin Room
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
1 night, 2 adults
US$87
Price US$87
See availability","8.0
Scored 8.0
Very good
75 reviews",Equator Village Resort,Gan,Standard Double or Twin Room,3 out of 5
,"1 night, 2 adults
US$186
Price US$186","Breakfast included
Villa Park Sun Island Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MaamigiliShow on map
9.0
Scored 9.0
Superb
1,072 reviews
Sun Villa
1 double bed
Breakfast included
1 night, 2 adults
US$186
Price US$186
See availability","9.0
Scored 9.0
Superb
1,072 reviews",Villa Park Sun Island Resort,Maamigili,Sun Villa,5 out of 5
,"1 night, 2 adults
US$4,400
Price US$4,400","Breakfast included
Soneva Jani
Opens in new window
NoonuShow on map
9.2
Scored 9.2
Superb
54 reviews
2 Bedroom Island Retreat
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 4,800.7feet²
2 double beds
Breakfast included
Only 2 left at this price on our site
1 night, 2 adults
US$4,400
Price US$4,400
See availability","9.2
Scored 9.2
Superb
54 reviews",Soneva Jani,Noonu,2 Bedroom Island Retreat,5 out of 5
,"1 night, 2 adults
US$119
Price US$119","Breakfast included
Filitheyo Island Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
FilitheyoShow on map
8.6
Scored 8.6
Fabulous
149 reviews
Superior Villa with Beach View Promo
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 1,022.6feet²
2 beds (1 extra-large double, 1 bunk bed)
Breakfast included
Free cancellation
1 night, 2 adults
US$119
Price US$119
See availability","8.6
Scored 8.6
Fabulous
149 reviews",Filitheyo Island Resort,Filitheyo,Superior Villa with Beach View Promo,4 out of 5
,"1 night, 2 adults
US$742US$408
Original price US$742. Current price US$408.","All meals included
Nova Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhangethiShow on map
9.5
Scored 9.5
Exceptional
174 reviews
Location 9.7
Beach Villa | 15% off on selected Watersports, Spa & Nova Experiences
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 861.1feet²
1 extra-large double bed
All meals included
1 night, 2 adults
US$742US$408
Original price US$742. Current price US$408.
See availability","9.5
Scored 9.5
Exceptional
174 reviews",Nova Maldives,Dhangethi,"Beach Villa | 15% off on selected Watersports, Spa & Nova Experiences",5 out of 5
,"1 night, 2 adults
US$972US$680
Original price US$972. Current price US$680.","All-inclusive
Siyam World Maldives - 24-Hour Premium All-inclusive with Free Transfer
Opens in new window
DhigurahShow on map
9.2
Scored 9.2
Superb
679 reviews
Beach Suite with Pool - Free shared seaplane for 2 guests, minimum 7-night stay
Private suite • 1 bedroom • 1 living room • 1 bathroom • 1,097.9feet²
1 extra-large double bed
All-inclusive
1 night, 2 adults
US$972US$680
Original price US$972. Current price US$680.
See availability","9.2
Scored 9.2
Superb
679 reviews",Siyam World Maldives - 24-Hour Premium All-inclusive with Free Transfer,Dhigurah,"Beach Suite with Pool - Free shared seaplane for 2 guests, minimum 7-night stay",5 out of 5
,"1 night, 2 adults
US$35US$32
Original price US$35. Current price US$32.","Sunview Residence
Opens in new window
KaashidhooShow on map
8.9
Scored 8.9
Fabulous
58 reviews
Double Room
2 beds (1 single, 1 double)
Only 5 rooms left at this price on our site
1 night, 2 adults
US$35US$32
Original price US$35. Current price US$32.
See availability","8.9
Scored 8.9
Fabulous
58 reviews",Sunview Residence,Kaashidhoo,Double Room,3 out of 5
,"1 night, 2 adults
US$125US$69
Original price US$125. Current price US$69.","Breakfast included
Captal Island Villa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MathiveriShow on map
9.3
Scored 9.3
Superb
116 reviews
Location 9.3
Getaway Deal
Standard Double Room
1 large double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
US$125US$69
Original price US$125. Current price US$69.
See availability","9.3
Scored 9.3
Superb
116 reviews",Captal Island Villa,Mathiveri,Standard Double Room,3 out of 5
,"1 night, 2 adults
US$517US$269
Original price US$517. Current price US$269.","Breakfast included
Sun Siyam Olhuveli
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
South Male AtollShow on map
8.7
Scored 8.7
Fabulous
1,712 reviews
Location 9.3
Deluxe Water Villa
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$517US$269
Original price US$517. Current price US$269.
See availability","8.7
Scored 8.7
Fabulous
1,712 reviews",Sun Siyam Olhuveli,South Male Atoll,Deluxe Water Villa,4 out of 5
,"1 night, 2 adults
US$572US$486
Original price US$572. Current price US$486.","All-inclusive
Constance Moofushi Maldives - All Inclusive
Opens in new window
Himandhoo Show on map
Sustainability certification
9.7
Scored 9.7
Exceptional
354 reviews
Location 9.8
Beach villa - All Inclusive
1 extra-large double bed
All-inclusive
Only 5 rooms left at this price on our site
1 night, 2 adults
US$572US$486
Original price US$572. Current price US$486.
See availability","9.7
Scored 9.7
Exceptional
354 reviews",Constance Moofushi Maldives - All Inclusive,Himandhoo,Beach villa - All Inclusive,5 out of 5
,"1 night, 2 adults
US$680
Price US$680","Park Hyatt Maldives Hadahaa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Gaafu Alifu AtollShow on map
9.1
Scored 9.1
Superb
25 reviews
Beach Villa
Entire villa • 1 bedroom • 1,776.1feet²
1 extra-large double bed
Free cancellation
1 night, 2 adults
US$680
Price US$680
See availability","9.1
Scored 9.1
Superb
25 reviews",Park Hyatt Maldives Hadahaa,Gaafu Alifu Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
US$95
Price US$95","Breakfast included
Kaani Grand Seaview
Opens in new window
MaafushiShow on map
8.4
Scored 8.4
Very good
1,096 reviews
Location 9.3
Deluxe Double Room with Balcony and Sea View
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$95
Price US$95
See availability","8.4
Scored 8.4
Very good
1,096 reviews",Kaani Grand Seaview,Maafushi,Deluxe Double Room with Balcony and Sea View,4 out of 5
,"1 night, 2 adults
US$2,090
Price US$2,090","Breakfast included
One&Only Reethi Rah
Opens in new window
Reethi RahShow on map
Sustainability certification
9.5
Scored 9.5
Exceptional
132 reviews
Location 9.8
Beach Villa Two Queen Beds
2 large double beds
Breakfast included
1 night, 2 adults
US$2,090
Price US$2,090
See availability","9.5
Scored 9.5
Exceptional
132 reviews",One&Only Reethi Rah,Reethi Rah,Beach Villa Two Queen Beds,5 out of 5
,"1 night, 2 adults
US$340
Price US$340","Breakfast included
Cocoon Maldives - All Inclusive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Lhaviyani AtollShow on map
9.0
Scored 9.0
Superb
193 reviews
Location 9.3
Beach Villa
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
1 night, 2 adults
US$340
Price US$340
See availability","9.0
Scored 9.0
Superb
193 reviews",Cocoon Maldives - All Inclusive,Lhaviyani Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
US$215US$97
Original price US$215. Current price US$97.","Breakfast included
Paguro Seaview
Opens in new window
BodufolhudhooShow on map
9.2
Scored 9.2
Superb
184 reviews
Location 9.6
Deluxe Double Room Beach Front
1 large double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
US$215US$97
Original price US$215. Current price US$97.
See availability","9.2
Scored 9.2
Superb
184 reviews",Paguro Seaview,Bodufolhudhoo,Deluxe Double Room Beach Front,3 out of 5
,"1 night, 2 adults
US$1,240
Price US$1,240","Breakfast included
Madifushi Private Island
Opens in new window
Meemu AtollShow on map
9.0
Scored 9.0
Superb
124 reviews
Location 9.3
Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY)
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 1,550feet²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$1,240
Price US$1,240
See availability","9.0
Scored 9.0
Superb
124 reviews",Madifushi Private Island,Meemu Atoll,Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY),5 out of 5
,"1 night, 2 adults
US$167
Price US$167","Breakfast included
Furaveri Maldives
Opens in new window
Raa AtollShow on map
9.2
Scored 9.2
Superb
1,020 reviews
Location 9.4
Villa
Breakfast included
1 night, 2 adults
US$167
Price US$167
See availability","9.2
Scored 9.2
Superb
1,020 reviews",Furaveri Maldives,Raa Atoll,Villa,5 out of 5
,"1 night, 2 adults
US$249
Price US$249","Breakfast included
Meeru Maldives Resort Island
Opens in new window
DhiffushiShow on map
9.3
Scored 9.3
Superb
1,924 reviews
Location 9.5
Beach Villa with Spa Bath
Entire bungalow • 1 bedroom • 1 bathroom • 861.1feet²
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$249
Price US$249
See availability","9.3
Scored 9.3
Superb
1,924 reviews",Meeru Maldives Resort Island,Dhiffushi,Beach Villa with Spa Bath,4 out of 5
,"1 night, 2 adults
US$80US$72
Original price US$80. Current price US$72.","Breakfast included
Turtle Maldives - Your Gateway to the Beach & Marine Adventures Await!
Opens in new window
OmadhooShow on map
9.2
Scored 9.2
Superb
56 reviews
Location 9.4
Standard Twin Room
2 single beds
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
US$80US$72
Original price US$80. Current price US$72.
See availability","9.2
Scored 9.2
Superb
56 reviews",Turtle Maldives - Your Gateway to the Beach & Marine Adventures Await!,Omadhoo,Standard Twin Room,3 out of 5
