conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
CNY 3,131
Price CNY 3,131
+CNY 7,377 taxes and charges","Breakfast included
The Residence Maldives at Dhigurah
Opens in new window
Gaafu Alifu AtollShow on map
9.1
Scored 9.1
Superb
141 reviews
Villa
1 large double bed
Breakfast included
1 night, 2 adults
CNY 3,131
Price CNY 3,131
+CNY 7,377 taxes and charges
See availability","9.1
Scored 9.1
Superb
141 reviews",The Residence Maldives at Dhigurah,Gaafu Alifu Atoll,Villa,5 out of 5
,"1 night, 2 adults
CNY 6,466CNY 6,142
Original price CNY 6,466. Current price CNY 6,142.
+CNY 10,466 taxes and charges","All-inclusive
Constance Moofushi Maldives - All Inclusive
Opens in new window
Himandhoo Show on map
Sustainability certification
9.7
Scored 9.7
Exceptional
362 reviews
Cleanliness 9.8
Beach villa - All Inclusive
1 extra-large double bed
All-inclusive
Only 3 rooms left at this price on our site
1 night, 2 adults
CNY 6,466CNY 6,142
Original price CNY 6,466. Current price CNY 6,142.
+CNY 10,466 taxes and charges
See availability","9.7
Scored 9.7
Exceptional
362 reviews",Constance Moofushi Maldives - All Inclusive,Himandhoo,Beach villa - All Inclusive,5 out of 5
,"1 night, 2 adults
CNY 4,904CNY 2,943
Original price CNY 4,904. Current price CNY 2,943.
+CNY 3,115 taxes and charges","All meals included
Kuramathi Maldives
Opens in new window
RasduShow on map
9.2
Scored 9.2
Superb
882 reviews
Location 9.5
Beach Bungalow
1 extra-large double bed
All meals included
1 night, 2 adults
CNY 4,904CNY 2,943
Original price CNY 4,904. Current price CNY 2,943.
+CNY 3,115 taxes and charges
See availability","9.2
Scored 9.2
Superb
882 reviews",Kuramathi Maldives,Rasdu,Beach Bungalow,4 out of 5
,"1 night, 2 adults
CNY 18,816
Price CNY 18,816
+CNY 5,280 taxes and charges","Breakfast included
One&Only Reethi Rah
Opens in new window
Reethi RahShow on map
Sustainability certification
9.5
Scored 9.5
Exceptional
132 reviews
Location 9.8
Beach Villa Two Queen Beds
2 large double beds
Breakfast included
1 night, 2 adults
CNY 18,816
Price CNY 18,816
+CNY 5,280 taxes and charges
See availability","9.5
Scored 9.5
Exceptional
132 reviews",One&Only Reethi Rah,Reethi Rah,Beach Villa Two Queen Beds,5 out of 5
,"1 night, 2 adults
CNY 1,664
Price CNY 1,664
+CNY 4,078 taxes and charges","Breakfast included
Sun Siyam Olhuveli
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
South Male AtollShow on map
8.8
Scored 8.8
Fabulous
1,748 reviews
Cleanliness 9.2
Grand Beach Villa
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
CNY 1,664
Price CNY 1,664
+CNY 4,078 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
1,748 reviews",Sun Siyam Olhuveli,South Male Atoll,Grand Beach Villa,4 out of 5
,"1 night, 2 adults
CNY 478CNY 439
Original price CNY 478. Current price CNY 439.
+CNY 132 taxes and charges","Sunview Residence
Opens in new window
KaashidhooShow on map
8.9
Scored 8.9
Fabulous
54 reviews
Cleanliness 9.2
Double Room
2 beds (1 single, 1 double)
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
CNY 478CNY 439
Original price CNY 478. Current price CNY 439.
+CNY 132 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
54 reviews",Sunview Residence,Kaashidhoo,Double Room,3 out of 5
,"1 night, 2 adults
CNY 1,940
Price CNY 1,940
+CNY 3,286 taxes and charges","Breakfast included
Meeru Maldives Resort Island
Opens in new window
DhiffushiShow on map
9.3
Scored 9.3
Superb
2,021 reviews
Cleanliness 9.5
Garden Room
Entire bungalow • 1 bedroom • 1 bathroom • 50m²
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
CNY 1,940
Price CNY 1,940
+CNY 3,286 taxes and charges
See availability","9.3
Scored 9.3
Superb
2,021 reviews",Meeru Maldives Resort Island,Dhiffushi,Garden Room,4 out of 5
,"1 night, 2 adults
CNY 1,473CNY 957
Original price CNY 1,473. Current price CNY 957.
+CNY 308 taxes and charges","Breakfast included
Paguro Seaview
Opens in new window
BodufolhudhooShow on map
9.2
Scored 9.2
Superb
172 reviews
Location 9.5
Deluxe Double Room Beach Front
1 large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
CNY 1,473CNY 957
Original price CNY 1,473. Current price CNY 957.
+CNY 308 taxes and charges
See availability","9.2
Scored 9.2
Superb
172 reviews",Paguro Seaview,Bodufolhudhoo,Deluxe Double Room Beach Front,3 out of 5
,"1 night, 2 adults
CNY 5,367CNY 2,683
Original price CNY 5,367. Current price CNY 2,683.
+CNY 6,617 taxes and charges","All meals included
Villa Park Sun Island Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MaamigiliShow on map
9.0
Scored 9.0
Superb
1,095 reviews
Sunset Beach Villa
2 beds (1 double, 1 sofa bed)
All meals included
Free cancellation
1 night, 2 adults
CNY 5,367CNY 2,683
Original price CNY 5,367. Current price CNY 2,683.
+CNY 6,617 taxes and charges
See availability","9.0
Scored 9.0
Superb
1,095 reviews",Villa Park Sun Island Resort,Maamigili,Sunset Beach Villa,5 out of 5
,"1 night, 2 adults
CNY 4,366CNY 611
Original price CNY 4,366. Current price CNY 611.
+CNY 212 taxes and charges","Breakfast included
La Palma Villa
Opens in new window
UkulhasShow on map
8.9
Scored 8.9
Fabulous
180 reviews
Cleanliness 9.1
Deluxe Villa with 18% discount on All Excursions
Entire villa • 1 bedroom • 1 bathroom • 15m²
2 extra-large double beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
CNY 4,366CNY 611
Original price CNY 4,366. Current price CNY 611.
+CNY 212 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
180 reviews",La Palma Villa,Ukulhas,Deluxe Villa with 18% discount on All Excursions,3 out of 5
,"1 night, 2 adults
CNY 1,906
Price CNY 1,906
+CNY 526 taxes and charges","Breakfast included
Furaveri Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Raa AtollShow on map
9.2
Scored 9.2
Superb
987 reviews
Cleanliness 9.5
Beach Villa with Special Rate On Seaplane Transfer From 16th April to 30th September 2024
Entire villa • 1 bedroom • 1 bathroom • 125m²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
CNY 1,906
Price CNY 1,906
+CNY 526 taxes and charges
See availability","9.2
Scored 9.2
Superb
987 reviews",Furaveri Maldives,Raa Atoll,Beach Villa with Special Rate On Seaplane Transfer From 16th April to 30th September 2024,5 out of 5
,"1 night, 2 adults
CNY 609
Price CNY 609
+CNY 168 taxes and charges","Plumeria Maldives
Opens in new window
ThinadhooShow on map
9.2
Scored 9.2
Superb
464 reviews
Location 9.5
Standard Double Room
1 double bed
Breakfast included
1 night, 2 adults
CNY 609
Price CNY 609
+CNY 168 taxes and charges
See availability","9.2
Scored 9.2
Superb
464 reviews",Plumeria Maldives,Thinadhoo,Standard Double Room,4 out of 5
,"1 night, 2 adults
CNY 3,039CNY 2,280
Original price CNY 3,039. Current price CNY 2,280.
+CNY 7,449 taxes and charges","Breakfast included
Sun Siyam Iru Fushi - 50 percent off on Seaplane transfer for minimum 4 night stay till 30 Sept 2024
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
ManadhooShow on map
9.0
Scored 9.0
Superb
473 reviews
Location 9.3
Getaway Deal
Deluxe Beach Villa - 50% off on return seaplane transfer, 2 Pax (On stays 4 nights and above between 01st May 24 and 30th Sept 24) + 2 Children upto 14.99 years stay and eat free on the same meal plan. Applicable only for bookings from 29th March, 2024.
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
CNY 3,039CNY 2,280
Original price CNY 3,039. Current price CNY 2,280.
+CNY 7,449 taxes and charges
See availability","9.0
Scored 9.0
Superb
473 reviews",Sun Siyam Iru Fushi - 50 percent off on Seaplane transfer for minimum 4 night stay till 30 Sept 2024,Manadhoo,"Deluxe Beach Villa - 50% off on return seaplane transfer, 2 Pax (On stays 4 nights and above between 01st May 24 and 30th Sept 24) + 2 Children upto 14.99 years stay and eat free on the same meal plan. Applicable only for bookings from 29th March, 2024.",5 out of 5
,"1 night, 2 adults
CNY 4,795
Price CNY 4,795
+CNY 1,410 taxes and charges","Breakfast included
JA Manafaru Maldives
Opens in new window
DhidhdhooShow on map
9.3
Scored 9.3
Superb
383 reviews
Cleanliness 9.6
Beach Villa with Private Pool
1 extra-large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
CNY 4,795
Price CNY 4,795
+CNY 1,410 taxes and charges
See availability","9.3
Scored 9.3
Superb
383 reviews",JA Manafaru Maldives,Dhidhdhoo,Beach Villa with Private Pool,5 out of 5
,"1 night, 2 adults
CNY 543CNY 499
Original price CNY 543. Current price CNY 499.
+CNY 172 taxes and charges","Stay Mikado
Opens in new window
ThimarafushiShow on map
9.8
Scored 9.8
Exceptional
27 reviews
Cleanliness 9.7
Double Room
1 large double bed
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
CNY 543CNY 499
Original price CNY 543. Current price CNY 499.
+CNY 172 taxes and charges
See availability","9.8
Scored 9.8
Exceptional
27 reviews",Stay Mikado,Thimarafushi,Double Room,4 out of 5
,"1 night, 2 adults
CNY 4,355
Price CNY 4,355
+CNY 1,202 taxes and charges","Siyam World Maldives - 24-Hour Premium All-inclusive with Free Transfer
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhigurahShow on map
9.2
Scored 9.2
Superb
640 reviews
Cleanliness 9.6
Water Villa Pool + Slide - Free shared seaplane for 2 guests, minimum 7-night stay
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 84m²
1 extra-large double bed
1 night, 2 adults
CNY 4,355
Price CNY 4,355
+CNY 1,202 taxes and charges
See availability","9.2
Scored 9.2
Superb
640 reviews",Siyam World Maldives - 24-Hour Premium All-inclusive with Free Transfer,Dhigurah,"Water Villa Pool + Slide - Free shared seaplane for 2 guests, minimum 7-night stay",5 out of 5
,"1 night, 2 adults
CNY 516
Price CNY 516
+CNY 142 taxes and charges","Breakfast included
Vaali Maldives Island Escapes & Dive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
FelidhooShow on map
9.1
Scored 9.1
Superb
73 reviews
Location 9.5
Standard Double Room
1 large double bed
Breakfast included
1 night, 2 adults
CNY 516
Price CNY 516
+CNY 142 taxes and charges
See availability","9.1
Scored 9.1
Superb
73 reviews",Vaali Maldives Island Escapes & Dive,Felidhoo,Standard Double Room,3 out of 5
,"1 night, 2 adults
CNY 5,893
Price CNY 5,893
+CNY 93 taxes and charges","Breakfast & dinner included
NH Collection Maldives Havodda Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Gaafu Dhaalu AtollShow on map
9.1
Scored 9.1
Superb
225 reviews
Sunrise Beach Villa
1 extra-large double bed
Breakfast & dinner included
1 night, 2 adults
CNY 5,893
Price CNY 5,893
+CNY 93 taxes and charges
See availability","9.1
Scored 9.1
Superb
225 reviews",NH Collection Maldives Havodda Resort,Gaafu Dhaalu Atoll,Sunrise Beach Villa,5 out of 5
,"1 night, 2 adults
CNY 4,306CNY 3,445
Original price CNY 4,306. Current price CNY 3,445.
+CNY 1,038 taxes and charges","Breakfast included
The Standard, Huruvalhi Maldives
Opens in new window
Raa AtollShow on map
9.3
Scored 9.3
Superb
835 reviews
Cleanliness 9.6
Getaway Deal
Lagoon Overwater Villa with Private Pool
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
CNY 4,306CNY 3,445
Original price CNY 4,306. Current price CNY 3,445.
+CNY 1,038 taxes and charges
See availability","9.3
Scored 9.3
Superb
835 reviews","The Standard, Huruvalhi Maldives",Raa Atoll,Lagoon Overwater Villa with Private Pool,5 out of 5
,"1 night, 2 adults
CNY 2,056
Price CNY 2,056
+CNY 568 taxes and charges","Breakfast & dinner included
Makunudu Island
Opens in new window
MakunudhooShow on map
8.8
Scored 8.8
Fabulous
247 reviews
Deluxe Beach Bungalow - Beach Front
Entire villa • 1 bedroom • 1 bathroom • 40m²
1 large double bed
Breakfast & dinner included
Free cancellation
1 night, 2 adults
CNY 2,056
Price CNY 2,056
+CNY 568 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
247 reviews",Makunudu Island,Makunudhoo,Deluxe Beach Bungalow - Beach Front,4 out of 5
,"1 night, 2 adults
CNY 10,226CNY 6,135
Original price CNY 10,226. Current price CNY 6,135.
+CNY 5,797 taxes and charges","Breakfast included
Madifushi Private Island
Opens in new window
Meemu AtollShow on map
8.9
Scored 8.9
Fabulous
117 reviews
Location 9.3
Limited-time Deal
Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY)
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 144m²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
CNY 10,226CNY 6,135
Original price CNY 10,226. Current price CNY 6,135.
+CNY 5,797 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
117 reviews",Madifushi Private Island,Meemu Atoll,Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY),5 out of 5
,"1 night, 2 adults
CNY 632CNY 581
Original price CNY 632. Current price CNY 581.
+CNY 218 taxes and charges","West Sands
Opens in new window
UkulhasShow on map
8.7
Scored 8.7
Fabulous
372 reviews
Location 9.5
Deluxe Room (20% off on Manta Snorkelling)
Multiple bed types
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
CNY 632CNY 581
Original price CNY 632. Current price CNY 581.
+CNY 218 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
372 reviews",West Sands,Ukulhas,Deluxe Room (20% off on Manta Snorkelling),4 out of 5
,"1 night, 2 adults
CNY 796CNY 637
Original price CNY 796. Current price CNY 637.
+CNY 219 taxes and charges","Thundi Village & Spa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MaalhosShow on map
8.7
Scored 8.7
Fabulous
169 reviews
Location 9.3
Getaway Deal
Standard Double Room
1 extra-large double bed
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
CNY 796CNY 637
Original price CNY 796. Current price CNY 637.
+CNY 219 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
169 reviews",Thundi Village & Spa,Maalhos,Standard Double Room,4 out of 5
,"1 night, 2 adults
CNY 1,122CNY 526
Original price CNY 1,122. Current price CNY 526.
+CNY 192 taxes and charges","Silver Oasis Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
HuraaShow on map
9.2
Scored 9.2
Superb
84 reviews
Cleanliness 9.1
Getaway Deal
Double Room
1 double bed
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
CNY 1,122CNY 526
Original price CNY 1,122. Current price CNY 526.
+CNY 192 taxes and charges
See availability","9.2
Scored 9.2
Superb
84 reviews",Silver Oasis Maldives,Huraa,Double Room,4 out of 5
,"1 night, 2 adults
CNY 543
Price CNY 543
+CNY 193 taxes and charges","Nihaali Maldives
Opens in new window
KudarikiluShow on map
9.5
Scored 9.5
Exceptional
28 reviews
Cleanliness 9.6
Standard Double Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
CNY 543
Price CNY 543
+CNY 193 taxes and charges
See availability","9.5
Scored 9.5
Exceptional
28 reviews",Nihaali Maldives,Kudarikilu,Standard Double Room,3 out of 5
,"1 night, 2 adults
CNY 4,213CNY 1,896
Original price CNY 4,213. Current price CNY 1,896.
+CNY 610 taxes and charges","Breakfast included
Kandima Maldives
Opens in new window
KudahuvadhooShow on map
8.9
Scored 8.9
Fabulous
1,454 reviews
Sky Studio | 50% off on Return Domestic Transfers (on stays 4 nights or more between 11 Apr & 30 Sep 2024) + 2 Children up to 5.99 Years Stay & Eat Free on Same Meal Plan Chosen by Adult Guests + 15% off on Excursions & Water Sports
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
1 night, 2 adults
CNY 4,213CNY 1,896
Original price CNY 4,213. Current price CNY 1,896.
+CNY 610 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
1,454 reviews",Kandima Maldives,Kudahuvadhoo,Sky Studio | 50% off on Return Domestic Transfers (on stays 4 nights or more between 11 Apr & 30 Sep 2024) + 2 Children up to 5.99 Years Stay & Eat Free on Same Meal Plan Chosen by Adult Guests + 15% off on Excursions & Water Sports,5 out of 5
,"1 night, 2 adults
CNY 7,505CNY 4,128
Original price CNY 7,505. Current price CNY 4,128.
+CNY 4,634 taxes and charges","All-inclusive
Cinnamon Hakuraa Huraa Maldives - All Inclusive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Meemu AtollShow on map
Sustainability certification
9.3
Scored 9.3
Superb
551 reviews
Cleanliness 9.7
Standard Beach Bungalow - Standard All Inclusive + 10% off F&B & Excursions + 5% off on Seaplane Transfers for Minimum 5-night stays
Entire bungalow • 1 bedroom • 1 bathroom • 70m²
1 double bed
All-inclusive
Only 5 left at this price on our site
1 night, 2 adults
CNY 7,505CNY 4,128
Original price CNY 7,505. Current price CNY 4,128.
+CNY 4,634 taxes and charges
See availability","9.3
Scored 9.3
Superb
551 reviews",Cinnamon Hakuraa Huraa Maldives - All Inclusive,Meemu Atoll,Standard Beach Bungalow - Standard All Inclusive + 10% off F&B & Excursions + 5% off on Seaplane Transfers for Minimum 5-night stays,4 out of 5
,"1 night, 2 adults
CNY 567CNY 470
Original price CNY 567. Current price CNY 470.
+CNY 248 taxes and charges","Dhoani Maldives Guesthouse
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
KendhooShow on map
9.4
Scored 9.4
Superb
71 reviews
Cleanliness 9.7
Getaway Deal
Standard Twin Room
2 single beds
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
CNY 567CNY 470
Original price CNY 567. Current price CNY 470.
+CNY 248 taxes and charges
See availability","9.4
Scored 9.4
Superb
71 reviews",Dhoani Maldives Guesthouse,Kendhoo,Standard Twin Room,3 out of 5
,"1 night, 2 adults
CNY 1,009CNY 928
Original price CNY 1,009. Current price CNY 928.
+CNY 322 taxes and charges","Breakfast included
Kinan Retreat
Opens in new window
FulidhooShow on map
9.1
Scored 9.1
Superb
448 reviews
Location 9.7
Deluxe Double Room
2 single beds
Breakfast included
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
CNY 1,009CNY 928
Original price CNY 1,009. Current price CNY 928.
+CNY 322 taxes and charges
See availability","9.1
Scored 9.1
Superb
448 reviews",Kinan Retreat,Fulidhoo,Deluxe Double Room,4 out of 5
,"1 night, 2 adults
CNY 747
Price CNY 747
+CNY 206 taxes and charges","Breakfast included
Canareef Resort Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MeedhooShow on map
8.0
Scored 8.0
Very good
137 reviews
Sunrise Villa
Entire villa • 1 bedroom • 1 bathroom • 76m²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
CNY 747
Price CNY 747
+CNY 206 taxes and charges
See availability","8.0
Scored 8.0
Very good
137 reviews",Canareef Resort Maldives,Meedhoo,Sunrise Villa,4 out of 5
,"1 night, 2 adults
CNY 373
Price CNY 373
+CNY 103 taxes and charges","Breakfast included
Koimala Hotel
Opens in new window
MaamigiliShow on map
9.1
Scored 9.1
Superb
384 reviews
Comfort Room
1 large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
CNY 373
Price CNY 373
+CNY 103 taxes and charges
See availability","9.1
Scored 9.1
Superb
384 reviews",Koimala Hotel,Maamigili,Comfort Room,3 out of 5
,"1 night, 2 adults
CNY 1,411CNY 776
Original price CNY 1,411. Current price CNY 776.
+CNY 245 taxes and charges","Breakfast included
Whaleshark Beach
Opens in new window
DhigurahShow on map
9.1
Scored 9.1
Superb
98 reviews
Getaway Deal
Superior Queen Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
CNY 1,411CNY 776
Original price CNY 1,411. Current price CNY 776.
+CNY 245 taxes and charges
See availability","9.1
Scored 9.1
Superb
98 reviews",Whaleshark Beach,Dhigurah,Superior Queen Room,3 out of 5
,"1 night, 2 adults
CNY 687CNY 632
Original price CNY 687. Current price CNY 632.
+CNY 233 taxes and charges","Breakfast included
Alimas Holiday Retreat Maldives
Opens in new window
FelidhooShow on map
9.6
Scored 9.6
Exceptional
90 reviews
Location 9.6
Deluxe Double Room with Balcony
1 double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
CNY 687CNY 632
Original price CNY 687. Current price CNY 632.
+CNY 233 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
90 reviews",Alimas Holiday Retreat Maldives,Felidhoo,Deluxe Double Room with Balcony,4 out of 5
