,"1 night, 2 adults
₱ 3,079
Price ₱ 3,079
+₱ 830 taxes and charges","Breakfast included
Koimala Hotel
Opens in new window
MaamigiliShow on map
9.1
Scored 9.1
Superb
370 reviews
Deluxe Room
1 double bed
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 3,079
Price ₱ 3,079
+₱ 830 taxes and charges
See availability","9.1
Scored 9.1
Superb
370 reviews",Koimala Hotel,Maamigili,Deluxe Room,3 out of 5
,"1 night, 2 adults
₱ 5,347₱ 4,919
Original price ₱ 5,347. Current price ₱ 4,919.
+₱ 1,814 taxes and charges","Breakfast included
Alimas Holiday Retreat Maldives
Opens in new window
FelidhooShow on map
9.6
Scored 9.6
Exceptional
86 reviews
Location 9.6
Deluxe Double Room with Balcony
1 double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 5,347₱ 4,919
Original price ₱ 5,347. Current price ₱ 4,919.
+₱ 1,814 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
86 reviews",Alimas Holiday Retreat Maldives,Felidhoo,Deluxe Double Room with Balcony,4 out of 5
,"1 night, 2 adults
₱ 52,514₱ 10,503
Original price ₱ 52,514. Current price ₱ 10,503.
+₱ 2,018 taxes and charges","Breakfast included
Sevinex Inn
Opens in new window
FeridhooShow on map
9.0
Scored 9.0
Superb
98 reviews
Location 9.3
Double Room with Balcony
Multiple bed types
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 52,514₱ 10,503
Original price ₱ 52,514. Current price ₱ 10,503.
+₱ 2,018 taxes and charges
See availability","9.0
Scored 9.0
Superb
98 reviews",Sevinex Inn,Feridhoo,Double Room with Balcony,3 out of 5
,"1 night, 2 adults
₱ 29,550
Price ₱ 29,550
+₱ 75,810 taxes and charges","Breakfast included
Radisson Blu Resort Maldives
Opens in new window
FenfushiShow on map
8.7
Scored 8.7
Fabulous
903 reviews
Overwater Villa with Pool and Lagoon View
Entire villa • 1 bedroom • 2 bathrooms • 220m²
1 extra-large double bed
Breakfast included
1 night, 2 adults
₱ 29,550
Price ₱ 29,550
+₱ 75,810 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
903 reviews",Radisson Blu Resort Maldives,Fenfushi,Overwater Villa with Pool and Lagoon View,5 out of 5
,"1 night, 2 adults
₱ 44,972₱ 24,734
Original price ₱ 44,972. Current price ₱ 24,734.
+₱ 31,137 taxes and charges","Breakfast included
Ellaidhoo Maldives by Cinnamon
Opens in new window
HangnaameedhooShow on map
Sustainability certification
8.9
Scored 8.9
Fabulous
322 reviews
Standard Room with Garden View - Spa (20%) and a 15% off excursions - Dolphin watching / Sunset fishing / Sunset Cruise for Bookings from 15th Feb, 2024
1 double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 44,972₱ 24,734
Original price ₱ 44,972. Current price ₱ 24,734.
+₱ 31,137 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
322 reviews",Ellaidhoo Maldives by Cinnamon,Hangnaameedhoo,"Standard Room with Garden View - Spa (20%) and a 15% off excursions - Dolphin watching / Sunset fishing / Sunset Cruise for Bookings from 15th Feb, 2024",4 out of 5
,"1 night, 2 adults
₱ 48,574₱ 14,572
Original price ₱ 48,574. Current price ₱ 14,572.
+₱ 29,508 taxes and charges","Breakfast included
Cinnamon Velifushi Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
KeyodhooShow on map
9.2
Scored 9.2
Superb
674 reviews
Location 9.4
Limited-time Deal
Superior Beach Loft - 20% off F&B + 20% off Spa
1 extra-large double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 48,574₱ 14,572
Original price ₱ 48,574. Current price ₱ 14,572.
+₱ 29,508 taxes and charges
See availability","9.2
Scored 9.2
Superb
674 reviews",Cinnamon Velifushi Maldives,Keyodhoo,Superior Beach Loft - 20% off F&B + 20% off Spa,5 out of 5
,"1 night, 2 adults
₱ 7,789
Price ₱ 7,789
+₱ 2,150 taxes and charges","Breakfast included
Canareef Resort Maldives
Opens in new window
MeedhooShow on map
8.0
Scored 8.0
Very good
127 reviews
Sunrise Villa
Entire villa • 1 bedroom • 1 bathroom • 76m²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
₱ 7,789
Price ₱ 7,789
+₱ 2,150 taxes and charges
See availability","8.0
Scored 8.0
Very good
127 reviews",Canareef Resort Maldives,Meedhoo,Sunrise Villa,4 out of 5
,"1 night, 2 adults
₱ 21,495
Price ₱ 21,495
+₱ 5,932 taxes and charges","All meals included
Royal Island Resort at Baa Atoll Biosphere Reserve
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Baa AtollShow on map
9.0
Scored 9.0
Superb
1,237 reviews
Beach Villa
2 beds (1 single, 1 double)
All meals included
Free cancellation
1 night, 2 adults
₱ 21,495
Price ₱ 21,495
+₱ 5,932 taxes and charges
See availability","9.0
Scored 9.0
Superb
1,237 reviews",Royal Island Resort at Baa Atoll Biosphere Reserve,Baa Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
₱ 17,008
Price ₱ 17,008
+₱ 4,694 taxes and charges","Breakfast included
NOOE Maldives Kunaavashi
Opens in new window
FulidhooShow on map
8.8
Scored 8.8
Fabulous
52 reviews
Beach villa
1 large double bed
Breakfast included
1 night, 2 adults
₱ 17,008
Price ₱ 17,008
+₱ 4,694 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
52 reviews",NOOE Maldives Kunaavashi,Fulidhoo,Beach villa,5 out of 5
conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
₱ 5,724
Price ₱ 5,724
+₱ 2,255 taxes and charges","Chak’z 1964 Beach
Opens in new window
DharavandhooShow on map
9.7
Scored 9.7
Exceptional
6 reviews
Location 10
New to Booking.com
King Room with Garden View
1 extra-large double bed
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 5,724
Price ₱ 5,724
+₱ 2,255 taxes and charges
See availability","9.7
Scored 9.7
Exceptional
6 reviews",Chak’z 1964 Beach,Dharavandhoo,King Room with Garden View,4 out of 5
,"1 night, 2 adults
₱ 8,443₱ 6,332
Original price ₱ 8,443. Current price ₱ 6,332.
+₱ 1,984 taxes and charges","Breakfast included
Madi Grand Maldives
Opens in new window
FulidhooShow on map
9.8
Scored 9.8
Exceptional
4 reviews
Location 10
New to Booking.com
Getaway Deal
Deluxe Triple Room
Multiple bed types
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
₱ 8,443₱ 6,332
Original price ₱ 8,443. Current price ₱ 6,332.
+₱ 1,984 taxes and charges
See availability","9.8
Scored 9.8
Exceptional
4 reviews",Madi Grand Maldives,Fulidhoo,Deluxe Triple Room,
,"1 night, 2 adults
₱ 1,722
Price ₱ 1,722
+₱ 276 taxes and charges","Breakfast included
Adroit Beach Inn
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
GuraidhooShow on map
10
Scored 10
Exceptional
5 reviews
Location 10
New to Booking.com
Deluxe Double Room
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 1,722
Price ₱ 1,722
+₱ 276 taxes and charges
See availability","10
Scored 10
Exceptional
5 reviews",Adroit Beach Inn,Guraidhoo,Deluxe Double Room,4 out of 5
,"1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 1,736 taxes and charges","Breakfast included
Tropico villa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
UkulhasShow on map
10
Scored 10
Exceptional
1 review
Location 10
New to Booking.com
Deluxe Triple Room
2 beds (1 single, 1 extra-large double)
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 1,736 taxes and charges
See availability","10
Scored 10
Exceptional
1 review",Tropico villa,Ukulhas,Deluxe Triple Room,3 out of 5
,"1 night, 2 adults
₱ 7,598
Price ₱ 7,598
+₱ 2,435 taxes and charges","Breakfast included
Faima Fishing Lodge at Daravandhoo
Opens in new window
Baa AtollShow on map
5.4
Scored 5.4
Review score
5 reviews
Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 7,598
Price ₱ 7,598
+₱ 2,435 taxes and charges
See availability","5.4
Scored 5.4
Review score
5 reviews",Faima Fishing Lodge at Daravandhoo,Baa Atoll,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 3,799
Price ₱ 3,799
Includes taxes and charges","Yan Inn
Opens in new window
MeedhooShow on map
9.0
Scored 9.0
Superb
1 review
Location 10
Double Room
1 large double bed
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,799
Price ₱ 3,799
Includes taxes and charges
See availability","9.0
Scored 9.0
Superb
1 review",Yan Inn,Meedhoo,Double Room,
,"1 night, 2 adults
₱ 33,771
Price ₱ 33,771
+₱ 5,403 taxes and charges","Breakfast included
White Tern Residence
Opens in new window
HulhumaleShow on map
10
Scored 10
Exceptional
3 reviews
Location 10
Deluxe King Suite
Private suite • 1 bedroom • 1 living room • 1 bathroom • 43m²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 3 left at this price on our site
1 night, 2 adults
₱ 33,771
Price ₱ 33,771
+₱ 5,403 taxes and charges
See availability","10
Scored 10
Exceptional
3 reviews",White Tern Residence,Hulhumale,Deluxe King Suite,4 out of 5
,"1 night, 2 adults
₱ 3,687
Price ₱ 3,687
+₱ 1,018 taxes and charges","Starry View
Opens in new window
HulhumaleShow on map
8.7
Scored 8.7
Fabulous
3 reviews
New to Booking.com
Standard Double Room
1 large double bed
Free cancellation
1 night, 2 adults
₱ 3,687
Price ₱ 3,687
+₱ 1,018 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
3 reviews",Starry View,Hulhumale,Standard Double Room,3 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 450 taxes and charges","Oceana Inn Maldives
Opens in new window
KudahuvadhooShow on map
10
Scored 10
Exceptional
1 review
Location 10
Double Room with Garden View
2 beds (1 double, 1 sofa bed)
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 450 taxes and charges
See availability","10
Scored 10
Exceptional
1 review",Oceana Inn Maldives,Kudahuvadhoo,Double Room with Garden View,
,"1 night, 2 adults
₱ 3,377
Price ₱ 3,377
+₱ 1,607 taxes and charges","Breakfast included
Asseyri Guest House
Opens in new window
MaradhoofeydhooShow on map
9.3
Scored 9.3
Superb
3 reviews
Double Room
1 large double bed
Breakfast included
Free cancellation
Only 7 rooms left at this price on our site
1 night, 2 adults
₱ 3,377
Price ₱ 3,377
+₱ 1,607 taxes and charges
See availability","9.3
Scored 9.3
Superb
3 reviews",Asseyri Guest House,Maradhoofeydhoo,Double Room,4 out of 5
,"1 night, 2 adults
₱ 4,334
Price ₱ 4,334
Includes taxes and charges","Fushi Beach Guesthouse
Opens in new window
FenfushiShow on map
8.0
Scored 8.0
Very good
2 reviews
Deluxe Double or Twin Room with Garden View
2 single beds
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 4,334
Price ₱ 4,334
Includes taxes and charges
See availability","8.0
Scored 8.0
Very good
2 reviews",Fushi Beach Guesthouse,Fenfushi,Deluxe Double or Twin Room with Garden View,3 out of 5
,"1 night, 2 adults
₱ 67,204
Price ₱ 67,204
Includes taxes and charges","All-inclusive
EQ SURF RETREAT
Opens in new window
MuliShow on map
9.0
Scored 9.0
Superb
1 review
Location 10
Apartment with Sea View
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 90m²
2 beds (1 sofa bed, 1 large double)
All-inclusive
Free cancellation
Only 5 left at this price on our site
1 night, 2 adults
₱ 67,204
Price ₱ 67,204
Includes taxes and charges
See availability","9.0
Scored 9.0
Superb
1 review",EQ SURF RETREAT,Muli,Apartment with Sea View,3 out of 5
,"1 night, 2 adults
₱ 8,443
Price ₱ 8,443
+₱ 1,351 taxes and charges","Ever Blue Guest House
Opens in new window
MathiveriShow on map
10
Scored 10
Exceptional
1 review
Location 10
New to Booking.com
Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 8,443
Price ₱ 8,443
+₱ 1,351 taxes and charges
See availability","10
Scored 10
Exceptional
1 review",Ever Blue Guest House,Mathiveri,Deluxe Double Room,
,"1 night, 2 adults
₱ 33,771
Price ₱ 33,771
+₱ 9,659 taxes and charges","Breakfast included
Veli Vilaa
Opens in new window
DhiffushiShow on map
8.5
Scored 8.5
Very good
2 reviews
Four-Bedroom House
Entire holiday home • 4 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 186m²
8 single beds
Breakfast included
Only 1 left at this price on our site
1 night, 2 adults
₱ 33,771
Price ₱ 33,771
+₱ 9,659 taxes and charges
See availability","8.5
Scored 8.5
Very good
2 reviews",Veli Vilaa,Dhiffushi,Four-Bedroom House,4 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 777 taxes and charges","Breakfast included
Vista Villa
Opens in new window
HithadhooShow on map
8.5
Scored 8.5
Very good
2 reviews
Deluxe Double Room
1 extra-large double bed
Breakfast included
Free cancellation
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 777 taxes and charges
See availability","8.5
Scored 8.5
Very good
2 reviews",Vista Villa,Hithadhoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 3,659
Price ₱ 3,659
+₱ 585 taxes and charges","Breakfast included
Mathiveri Beach Dream
Opens in new window
MathiveriShow on map
1.0
Scored 1.0
Review score
1 review
New to Booking.com
Double Room with Balcony and Sea View
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
₱ 3,659
Price ₱ 3,659
+₱ 585 taxes and charges
See availability","1.0
Scored 1.0
Review score
1 review",Mathiveri Beach Dream,Mathiveri,Double Room with Balcony and Sea View,
,"1 night, 2 adults
₱ 3,293
Price ₱ 3,293
+₱ 527 taxes and charges","Breakfast included
Saima Inn
Opens in new window
MaalhosShow on map
8.3
Scored 8.3
Very good
3 reviews
Location 10
Standard Double Room
1 double bed
Breakfast included
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,293
Price ₱ 3,293
+₱ 527 taxes and charges
See availability","8.3
Scored 8.3
Very good
3 reviews",Saima Inn,Maalhos,Standard Double Room,3 out of 5
,"1 night, 2 adults
₱ 5,167₱ 4,134
Original price ₱ 5,167. Current price ₱ 4,134.
+₱ 661 taxes and charges","Noya Inn
Opens in new window
FuvahmulahShow on map
10
Scored 10
Exceptional
3 reviews
Location 10
Getaway Deal
Two-Bedroom Apartment
3 beds (1 sofa bed, 2 large doubles)
Free cancellation
Only 2 left at this price on our site
1 night, 2 adults
₱ 5,167₱ 4,134
Original price ₱ 5,167. Current price ₱ 4,134.
+₱ 661 taxes and charges
See availability","10
Scored 10
Exceptional
3 reviews",Noya Inn,Fuvahmulah,Two-Bedroom Apartment,4 out of 5
